company_id,pii_count,database_storage_tb,pci_data_flag,phi_data_flag,cloud_adoption_pct,subdomain_count
1,98733,10.3,1,0,58.49,468
2,338734,15.6,0,0,79.02,362
3,12752,9.1,0,0,73.64,360
4,2106,3.8,0,0,97.88,120
5,935436,21.9,0,1,28.95,236
6,10435,4.1,0,1,6.11,419
7,252980,12.1,0,1,18.99,140
8,19041,4.9,0,0,82.33,489
9,31208,2.2,0,0,62.31,76
10,3047,6.4,0,0,85.27,110
11,55897,4.7,0,1,92.94,142
12,1350,5.8,0,0,54.57,377
13,20934,8.8,0,0,89.45,186
14,9176,6.5,1,0,1.62,329
15,8438,7.6,0,1,21.89,302
16,281101,12.6,0,1,67.25,331
17,5487,4.5,1,0,57.36,5
18,162675,7.2,1,0,81.76,37
19,35524,6.7,1,0,41.44,133
20,83745,8.7,1,0,80.28,222
21,55615,7.9,0,0,99.06,91
22,131725,6.2,0,1,31.78,175
23,18046,2.4,1,0,65.39,480
24,7942,6.2,1,0,39.97,73
25,59156,8.1,1,0,58.57,415
26,3635,9.6,0,0,52.52,335
27,184894,8.9,0,1,5.42,433
28,4780130,99.5,1,0,67.17,359
29,42571,8.6,0,0,44.05,460
30,381467,16.2,0,1,60.32,268
31,25209,4.3,0,0,37.63,398
32,198657,7.6,0,1,16.83,439
33,14871,6.0,0,1,81.81,383
34,6262,3.5,0,0,51.54,251
35,84161,10.6,0,0,91.29,366
36,56164,8.3,0,0,78.99,483
37,14941,8.8,1,0,16.7,411
38,15241,2.3,0,1,71.81,396
39,22931,10.1,0,0,26.82,180
40,90207,10.3,1,0,18.32,460
41,309376,14.3,0,1,88.05,139
42,568752,19.6,1,0,67.85,157
43,690758,16.3,0,1,71.99,51
44,63575,4.8,0,0,27.66,402
45,6488,9.3,1,0,64.63,241
46,32015,9.7,0,0,25.82,124
47,577203,19.1,1,0,37.24,365
48,142744,4.5,1,0,12.22,272
49,224073,13.7,1,0,48.49,462
50,53184,3.2,0,1,35.13,355
51,23233,1.5,0,0,64.84,284
52,8457,1.9,0,0,79.33,123
53,103573,5.8,0,0,71.83,347
54,3300,1.6,0,0,75.73,381
55,275629,13.9,0,0,73.33,295
56,132514,12.0,0,0,39.16,79
57,133864,6.0,0,1,28.26,208
58,40265,5.0,0,1,72.57,490
59,53428,10.0,0,1,3.3,268
60,20926,1.6,1,0,68.35,425
61,60229,5.8,1,0,66.46,80
62,8228,7.5,1,0,77.03,485
