incident_id,company_id,breach_type,total_loss_val,records_stolen,forensics_retained,post_breach_pr_cost,is_claim_filed
,1,,,,,,0
INC-000001,2,Insider Threat,14864781.88,98489.0,1.0,743239.09,1
,3,,,,,,0
INC-000003,4,Phishing,567786.13,781.0,1.0,28389.31,1
INC-000004,5,DDoS,78156426.12,519268.0,1.0,3907821.31,1
INC-000005,6,Insider Threat,988783.75,3492.0,1.0,49439.19,1
,7,,,,,,0
,8,,,,,,0
,9,,,,,,0
,10,,,,,,0
INC-000010,11,Ransomware,1862882.17,11075.0,1.0,93144.11,1
,12,,,,,,0
,13,,,,,,0
INC-000013,14,Phishing,1256114.62,5637.0,1.0,62805.73,1
INC-000014,15,Phishing,925935.13,4120.0,1.0,46296.76,1
INC-000015,16,DDoS,4667577.41,28416.0,1.0,233378.87,1
,17,,,,,,0
INC-000017,18,Ransomware,6385567.85,39864.0,1.0,319278.39,1
,19,,,,,,0
,20,,,,,,0
INC-000020,21,Phishing,4471799.34,27163.0,1.0,223589.97,1
,22,,,,,,0
,23,,,,,,0
,24,,,,,,0
,25,,,,,,0
,26,,,,,,0
INC-000026,27,Phishing,14346637.27,93734.0,1.0,717331.86,1
,28,,,,,,0
,29,,,,,,0
INC-000029,30,Ransomware,14079414.83,91234.0,1.0,703970.74,1
INC-000030,31,Insider Threat,2040295.29,12265.0,1.0,102014.76,1
,32,,,,,,0
,33,,,,,,0
,34,,,,,,0
,35,,,,,,0
,36,,,,,,0
,37,,,,,,0
INC-000037,38,Ransomware,575454.81,2291.0,1.0,28772.74,1
,39,,,,,,0
INC-000039,40,Phishing,4563446.74,27618.0,1.0,228172.34,1
,41,,,,,,0
,42,,,,,,0
,43,,,,,,0
INC-000043,44,Ransomware,1981589.71,10705.0,1.0,99079.49,1
,45,,,,,,0
,46,,,,,,0
INC-000046,47,Phishing,52763115.74,350948.0,1.0,2638155.79,1
INC-000047,48,Ransomware,7626490.09,48037.0,1.0,381324.5,1
,49,,,,,,0
INC-000049,50,Phishing,1458868.95,6721.0,1.0,72943.45,1
,51,,,,,,0
,52,,,,,,0
INC-000052,53,DDoS,3519143.9,20858.0,1.0,175957.2,1
,54,,,,,,0
,55,,,,,,0
,56,,,,,,0
,57,,,,,,0
INC-000057,58,DDoS,4071740.62,26092.0,1.0,203587.03,1
INC-000058,59,Ransomware,5352141.65,33242.0,1.0,267607.08,1
,60,,,,,,0
,61,,,,,,0
INC-000061,62,DDoS,449344.05,1905.0,1.0,22467.2,1
,63,,,,,,0
,64,,,,,,0
,65,,,,,,0
INC-000065,66,Insider Threat,18298712.24,119131.0,1.0,914935.61,1
INC-000066,67,DDoS,1424379.75,8402.0,1.0,71218.99,1
,68,,,,,,0
INC-000068,69,DDoS,54956137.04,363046.0,1.0,2747806.85,1
INC-000069,70,DDoS,9685305.09,61741.0,1.0,484265.25,1
,71,,,,,,0
INC-000071,72,Ransomware,7376331.63,47969.0,1.0,368816.58,1
,73,,,,,,0
,74,,,,,,0
INC-000074,75,DDoS,1462894.16,7532.0,1.0,73144.71,1
INC-000075,76,Insider Threat,6207093.3,40312.0,1.0,310354.66,1
,77,,,,,,0
