company_id,mfa_status,edr_deployed,patch_velocity,open_vulnerabilities,backup_type,training_freq,pen_test_age
1,1,1,65,275,Cloud-only,2,21
2,0,0,114,506,Cloud-only,4,32
3,1,1,11,38,Cloud-only,2,14
4,0,0,53,168,Offline,1,6
5,0,1,80,231,Offline,0,9
6,1,0,106,456,Offline,1,6
7,1,1,88,207,On-premise,3,19
8,1,1,77,220,Cloud-only,0,34
9,1,0,93,217,On-premise,2,31
10,0,1,82,381,Cloud-only,1,8
11,0,1,84,336,On-premise,1,27
12,1,0,116,270,Cloud-only,3,18
13,1,0,5,22,Offline,4,30
14,0,1,112,331,Cloud-only,2,21
15,0,1,114,481,Cloud-only,4,33
16,0,0,94,287,Offline,2,11
17,1,1,103,356,On-premise,1,15
18,0,0,108,416,Offline,4,33
19,0,1,27,129,Cloud-only,0,29
20,0,1,69,200,Cloud-only,2,17
21,1,1,89,399,Cloud-only,3,34
22,1,0,23,97,Cloud-only,2,21
23,1,1,12,28,Offline,1,17
24,1,1,119,365,Offline,1,1
25,0,1,22,69,Cloud-only,4,34
26,1,1,4,12,Cloud-only,1,31
27,0,1,23,70,Offline,4,28
28,0,1,6,26,Offline,3,5
29,1,1,12,59,Offline,1,24
30,1,0,99,470,Offline,3,18
31,1,1,103,416,Offline,0,35
32,1,1,105,261,Cloud-only,0,33
33,1,1,100,397,Cloud-only,1,33
34,1,0,62,261,Cloud-only,1,30
35,1,1,43,157,Offline,4,31
36,1,1,9,28,On-premise,1,1
37,1,1,104,430,Cloud-only,1,32
38,0,1,115,412,Cloud-only,2,23
39,1,0,106,225,Cloud-only,4,32
40,0,0,61,127,On-premise,1,28
41,1,0,26,82,Cloud-only,2,33
42,1,1,119,345,Cloud-only,4,14
43,1,1,47,173,Offline,0,23
44,1,0,95,213,Cloud-only,1,33
45,1,1,1,4,Offline,1,16
46,0,0,47,157,Cloud-only,1,20
47,0,1,91,420,Cloud-only,1,24
48,0,1,56,148,Offline,1,34
49,0,0,22,105,Cloud-only,2,1
50,1,0,13,36,Cloud-only,4,29
51,1,0,30,117,Cloud-only,4,22
52,0,1,2,4,On-premise,4,11
53,0,1,45,218,On-premise,0,23
54,1,1,15,48,Cloud-only,2,6
55,1,0,4,9,Cloud-only,2,5
56,1,0,15,36,Cloud-only,3,10
57,1,1,108,245,Cloud-only,0,24
58,1,0,111,255,Offline,4,19
59,0,0,94,405,Offline,3,29
60,0,1,4,10,Offline,3,8
61,0,1,24,112,Cloud-only,3,5
62,0,0,70,177,On-premise,1,4
63,1,0,29,69,Cloud-only,1,15
64,0,1,36,152,On-premise,0,6
65,1,0,72,251,Cloud-only,1,23
66,0,1,106,523,Cloud-only,1,15
67,0,1,28,126,Offline,2,28
68,1,1,53,195,Cloud-only,4,31
69,0,1,37,119,Cloud-only,2,34
70,0,0,58,278,Cloud-only,4,9
71,1,1,29,140,Cloud-only,3,31
72,0,0,3,9,Cloud-only,2,35
73,1,1,82,230,On-premise,2,9
74,1,1,45,119,On-premise,4,13
75,1,0,101,406,Cloud-only,4,12
76,1,1,49,184,Offline,3,22
77,1,0,35,124,Offline,1,2
78,1,1,31,154,Cloud-only,3,35
79,1,1,118,302,Cloud-only,2,24
80,0,0,32,144,Offline,2,9
81,0,1,7,24,Offline,2,10
82,1,0,119,334,On-premise,0,25
83,1,1,28,127,Cloud-only,4,29
84,1,1,46,205,Cloud-only,3,24
85,1,0,28,121,On-premise,4,15
86,0,0,21,65,Cloud-only,1,7
87,1,1,50,221,Cloud-only,0,1
88,0,1,54,179,On-premise,4,23
89,1,1,46,186,Cloud-only,4,8
90,0,0,64,237,Cloud-only,3,5
91,1,1,64,156,On-premise,2,22
92,0,1,73,236,Cloud-only,0,6
93,0,1,57,216,Cloud-only,1,4
94,1,0,76,195,On-premise,0,9
95,1,1,59,248,Cloud-only,1,18
96,0,0,75,252,Cloud-only,2,23
97,1,0,111,379,Cloud-only,4,16
98,1,0,116,378,On-premise,2,35
99,0,1,104,414,Cloud-only,1,11
100,1,0,39,130,Offline,1,35
101,0,0,35,131,Cloud-only,4,10
102,0,1,67,267,Offline,1,20
103,0,1,85,202,On-premise,2,30
104,1,1,88,236,Cloud-only,4,14
105,0,1,25,95,Cloud-only,0,6
106,0,0,80,385,Cloud-only,1,24
107,0,1,107,426,Cloud-only,4,24
108,1,1,82,371,Offline,1,5
109,1,1,19,70,Cloud-only,4,6
110,1,0,72,312,On-premise,4,2
111,0,0,102,466,Offline,2,15
112,1,0,4,16,Offline,3,6
113,0,0,40,116,Cloud-only,0,17
114,1,1,50,182,Offline,2,33
115,0,0,9,23,Cloud-only,2,22
116,1,1,103,262,Offline,1,28
117,1,0,37,110,On-premise,0,11
118,1,0,63,290,Cloud-only,2,19
119,1,0,12,37,Cloud-only,2,3
120,1,0,38,168,Offline,4,29
121,1,0,13,59,Cloud-only,0,29
122,1,0,10,37,On-premise,1,9
123,1,0,34,117,Cloud-only,1,29
124,0,0,20,81,Cloud-only,0,15
125,1,1,75,283,Cloud-only,4,19
126,1,0,117,355,On-premise,2,10
127,1,1,88,202,On-premise,3,31
128,0,1,39,141,On-premise,2,22
129,0,1,59,267,Cloud-only,4,28
130,0,0,31,132,On-premise,3,35
131,1,0,71,280,Cloud-only,2,21
132,1,1,119,542,Cloud-only,4,22
133,0,0,91,418,Cloud-only,2,8
134,0,1,110,233,On-premise,0,1
135,1,0,112,449,Offline,0,32
136,1,1,100,275,Offline,0,24
137,1,0,19,90,Offline,0,20
138,1,1,63,149,Cloud-only,3,8
139,1,1,117,550,Cloud-only,1,6
140,1,0,92,421,Cloud-only,1,10
141,1,0,17,49,Cloud-only,1,27
142,0,1,71,324,On-premise,0,15
143,1,1,94,443,Cloud-only,4,20
144,1,1,38,127,Cloud-only,0,20
145,0,1,111,519,Cloud-only,2,25
146,1,1,74,332,Cloud-only,1,6
147,1,0,66,209,On-premise,3,3
148,0,0,36,100,Offline,2,13
149,1,1,8,29,Cloud-only,0,9
150,1,1,64,257,Cloud-only,3,22
151,1,1,78,341,On-premise,2,5
152,1,1,98,370,Offline,4,17
153,0,0,53,107,Offline,4,9
154,0,0,27,73,Offline,1,34
155,1,0,17,63,Cloud-only,3,28
156,1,0,106,466,Offline,4,1
157,0,0,13,39,Offline,1,31
158,1,0,45,115,On-premise,4,11
159,0,1,86,214,Cloud-only,4,15
160,1,0,38,127,Offline,4,20
161,0,1,73,146,Offline,3,30
162,0,1,5,20,Offline,2,9
163,1,1,101,313,Cloud-only,4,33
164,1,0,92,237,On-premise,1,4
165,1,0,30,131,Offline,3,29
166,1,1,5,20,Cloud-only,3,8
167,0,1,81,327,Cloud-only,1,2
168,0,1,4,12,Cloud-only,3,22
169,1,0,106,418,Cloud-only,2,31
170,0,0,112,239,Cloud-only,1,11
171,0,1,46,112,Offline,0,35
172,1,1,94,403,Cloud-only,4,13
173,1,0,101,439,On-premise,1,29
174,1,1,86,247,Cloud-only,2,8
175,0,0,42,179,Cloud-only,4,21
176,1,1,71,314,Offline,0,23
177,0,0,114,366,Cloud-only,1,14
178,1,1,40,82,Cloud-only,3,17
179,0,1,37,84,On-premise,4,24
180,1,0,74,295,On-premise,2,14
181,1,1,110,252,On-premise,3,12
182,0,0,118,576,Cloud-only,4,32
183,1,0,35,98,Cloud-only,1,8
184,1,0,32,110,On-premise,4,28
185,0,1,41,97,On-premise,0,35
186,1,0,27,109,Cloud-only,1,16
187,1,1,21,69,Offline,2,7
188,0,0,103,457,Offline,2,32
189,1,1,37,157,Cloud-only,4,32
190,0,1,54,234,Cloud-only,1,31
191,0,0,30,91,Offline,3,13
192,1,1,111,300,On-premise,1,3
193,0,1,45,210,Cloud-only,2,7
194,0,0,40,171,Offline,4,14
195,1,1,68,192,On-premise,1,19
196,0,1,60,182,Cloud-only,4,9
197,0,1,86,424,Cloud-only,1,9
198,0,1,28,71,On-premise,1,12
199,0,1,50,130,On-premise,1,30
200,0,1,92,266,Cloud-only,1,25
201,1,1,95,301,Offline,4,32
202,1,1,76,192,Cloud-only,3,29
203,0,1,43,120,On-premise,3,2
204,1,1,32,158,Offline,1,4
205,1,1,75,190,Offline,3,21
206,1,1,8,30,On-premise,3,13
207,1,1,53,257,Offline,4,10
208,0,0,57,188,Cloud-only,4,25
209,1,0,50,125,Cloud-only,3,22
210,0,1,43,130,On-premise,4,21
211,0,0,23,103,Cloud-only,0,18
212,1,0,56,201,Cloud-only,3,5
213,1,0,22,68,On-premise,0,9
214,1,1,33,87,Cloud-only,2,27
215,0,0,39,81,Offline,1,31
216,1,0,36,129,Cloud-only,0,14
217,0,1,78,277,Offline,3,7
218,1,0,76,347,Cloud-only,1,29
219,0,0,96,224,Offline,3,2
220,1,1,14,56,Cloud-only,4,31
221,1,1,41,150,On-premise,0,26
222,1,1,86,346,On-premise,2,33
223,0,0,82,197,On-premise,2,24
224,1,1,109,499,Cloud-only,4,22
225,0,1,62,247,Offline,2,34
226,1,0,61,152,On-premise,0,7
227,1,1,48,154,Cloud-only,1,19
228,1,0,109,327,Offline,2,2
229,1,1,81,214,Cloud-only,0,7
230,1,0,26,98,Offline,0,7
231,1,0,23,46,Offline,2,2
232,1,0,80,205,On-premise,3,12
233,1,0,65,287,Cloud-only,4,25
234,1,0,114,315,Cloud-only,1,29
235,1,0,33,67,Offline,2,10
236,1,0,30,147,Cloud-only,4,18
237,0,0,119,313,Offline,3,9
238,1,0,100,478,Cloud-only,2,35
239,0,1,5,18,Offline,3,12
240,1,1,117,297,Offline,2,16
241,1,0,22,53,Cloud-only,2,28
242,1,0,16,78,Cloud-only,4,15
243,1,1,37,144,Offline,4,13
244,1,1,96,356,On-premise,2,21
245,1,1,17,47,Offline,3,12
246,1,1,7,15,Offline,3,33
247,0,1,44,200,Cloud-only,4,9
248,1,1,74,253,On-premise,1,2
249,1,1,105,263,Cloud-only,2,10
250,1,0,119,436,Cloud-only,4,8
251,0,1,46,131,Offline,3,25
252,1,0,37,155,Offline,1,2
253,1,1,118,318,Offline,4,18
254,1,1,119,463,Cloud-only,2,19
255,1,0,44,207,Offline,1,11
256,0,1,92,191,On-premise,0,1
257,0,0,53,142,Cloud-only,4,31
258,0,1,78,253,Cloud-only,3,11
259,1,0,31,94,Cloud-only,4,7
260,1,1,23,101,On-premise,4,33
261,1,1,73,344,Offline,2,3
262,0,1,60,277,Offline,0,34
263,0,0,67,298,Offline,1,31
264,1,1,110,440,Offline,4,23
265,1,1,92,260,Offline,3,16
266,1,1,1,3,Cloud-only,0,23
267,1,0,23,102,Offline,3,27
268,1,1,14,47,Cloud-only,4,19
269,1,1,94,426,On-premise,2,26
270,1,0,30,103,Cloud-only,4,25
271,1,0,43,132,Offline,0,9
272,0,1,98,464,Cloud-only,4,33
273,0,1,98,317,Cloud-only,0,35
274,1,0,104,468,Cloud-only,3,6
275,0,1,85,283,Cloud-only,2,28
276,0,1,63,152,Cloud-only,4,23
277,1,1,59,207,Offline,4,14
278,1,0,112,252,On-premise,2,4
279,0,1,60,182,Cloud-only,2,24
280,1,0,81,252,Offline,2,33
281,0,1,90,290,On-premise,4,6
282,1,1,20,84,Cloud-only,3,8
283,1,1,54,206,Offline,4,21
284,0,1,85,267,Offline,2,30
285,1,0,88,207,On-premise,4,20
286,0,1,24,97,On-premise,2,2
287,0,1,85,397,Cloud-only,3,17
288,0,1,18,82,Cloud-only,1,21
289,1,1,79,356,Cloud-only,2,24
290,1,0,58,201,Cloud-only,1,12
291,0,0,46,110,On-premise,4,3
292,0,1,90,277,Cloud-only,1,9
293,1,1,73,188,Cloud-only,2,9
294,1,1,107,301,Offline,3,22
295,0,0,97,373,Cloud-only,1,7
296,0,1,14,47,On-premise,2,33
297,1,1,102,285,On-premise,1,8
298,0,0,23,107,Cloud-only,3,7
